iter	Passed	Remaining
0	20	10154
1	42	10497
2	63	10443
3	84	10445
4	106	10501
5	129	10661
6	150	10577
7	170	10513
8	193	10554
9	214	10513
10	235	10448
11	257	10460
12	276	10355
13	296	10299
14	322	10441
15	341	10335
16	363	10321
17	386	10354
18	407	10325
19	428	10278
20	447	10206
21	474	10312
22	498	10331
23	519	10305
24	540	10277
25	563	10265
26	585	10251
27	607	10234
28	627	10196
29	646	10127
30	681	10303
31	712	10426
32	737	10436
33	757	10383
34	775	10308
35	794	10241
36	813	10173
37	835	10155
38	854	10102
39	876	10079
40	901	10088
41	921	10053
42	946	10060
43	968	10034
44	990	10015
45	1013	10003
46	1037	10003
47	1064	10027
48	1088	10015
49	1109	9989
50	1131	9965
51	1152	9931
52	1178	9936
53	1194	9864
54	1214	9825
55	1234	9784
56	1248	9702
57	1264	9638
58	1280	9571
59	1297	9517
60	1313	9453
61	1329	9390
62	1347	9345
63	1367	9314
64	1386	9276
65	1407	9253
66	1425	9209
67	1442	9165
68	1461	9127
69	1482	9104
70	1505	9099
71	1527	9078
72	1543	9028
73	1561	8988
74	1579	8948
75	1595	8902
76	1608	8838
77	1624	8786
78	1637	8726
79	1650	8666
80	1659	8586
81	1676	8545
82	1691	8496
83	1705	8446
84	1718	8391
85	1731	8336
86	1747	8296
87	1763	8255
88	1778	8213
89	1792	8164
90	1808	8128
91	1826	8098
92	1842	8065
93	1863	8047
94	1880	8017
95	1896	7981
96	1912	7945
97	1928	7909
98	1943	7873
99	1956	7824
100	1973	7797
101	1989	7762
102	2004	7727
103	2018	7686
104	2034	7652
105	2047	7611
106	2063	7578
107	2080	7551
108	2099	7531
109	2115	7500
110	2130	7468
111	2146	7436
112	2162	7407
113	2177	7373
114	2191	7336
115	2203	7295
116	2217	7259
117	2234	7234
118	2252	7212
119	2270	7188
120	2289	7170
121	2308	7153
122	2325	7127
123	2340	7098
124	2356	7068
125	2370	7035
126	2385	7005
127	2401	6980
128	2417	6951
129	2434	6927
130	2451	6906
131	2470	6886
132	2492	6877
133	2515	6871
134	2538	6864
135	2561	6856
136	2583	6846
137	2603	6828
138	2622	6810
139	2644	6800
140	2669	6797
141	2688	6777
142	2706	6756
143	2724	6734
144	2738	6705
145	2751	6670
146	2767	6646
147	2783	6619
148	2806	6610
149	2829	6601
150	2849	6585
151	2867	6565
152	2883	6539
153	2898	6513
154	2919	6499
155	2936	6475
156	2949	6444
157	2963	6415
158	2980	6392
159	2998	6372
160	3014	6346
161	3028	6319
162	3040	6286
163	3051	6252
164	3065	6224
165	3085	6208
166	3104	6191
167	3119	6164
168	3138	6146
169	3155	6124
170	3171	6102
171	3188	6079
172	3208	6064
173	3223	6039
174	3245	6027
175	3262	6005
176	3288	6000
177	3313	5994
178	3336	5983
179	3356	5967
180	3369	5937
181	3389	5921
182	3407	5901
183	3425	5882
184	3436	5850
185	3453	5830
186	3466	5802
187	3481	5777
188	3494	5750
189	3508	5724
190	3522	5698
191	3539	5678
192	3558	5661
193	3573	5636
194	3590	5615
195	3603	5589
196	3619	5567
197	3634	5544
198	3652	5524
199	3670	5506
200	3684	5481
201	3699	5457
202	3715	5435
203	3727	5408
204	3740	5382
205	3755	5359
206	3773	5341
207	3789	5319
208	3799	5289
209	3812	5264
210	3826	5241
211	3843	5220
212	3863	5205
213	3883	5190
214	3905	5177
215	3920	5154
216	3936	5133
217	3950	5109
218	3962	5084
219	3978	5063
220	3995	5044
221	4012	5024
222	4027	5003
223	4040	4979
224	4051	4951
225	4064	4928
226	4076	4903
227	4089	4878
228	4104	4857
229	4120	4837
230	4133	4813
231	4149	4793
232	4163	4771
233	4178	4750
234	4194	4730
235	4208	4708
236	4221	4685
237	4237	4665
238	4253	4644
239	4269	4625
240	4286	4606
241	4302	4586
242	4317	4566
243	4330	4543
244	4343	4520
245	4360	4501
246	4379	4486
247	4403	4474
248	4423	4458
249	4441	4441
250	4456	4421
251	4474	4403
252	4495	4388
253	4510	4368
254	4525	4347
255	4542	4329
256	4561	4312
257	4578	4295
258	4596	4277
259	4610	4255
260	4626	4236
261	4641	4216
262	4661	4200
263	4681	4184
264	4698	4166
265	4715	4148
266	4738	4135
267	4754	4116
268	4764	4091
269	4777	4069
270	4789	4047
271	4805	4028
272	4821	4009
273	4842	3993
274	4860	3977
275	4879	3960
276	4899	3944
277	4918	3927
278	4931	3906
279	4958	3895
280	4974	3877
281	4996	3862
282	5017	3847
283	5036	3830
284	5051	3810
285	5071	3794
286	5086	3775
287	5101	3755
288	5118	3737
289	5138	3721
290	5157	3704
291	5177	3688
292	5194	3669
293	5213	3652
294	5234	3637
295	5256	3622
296	5278	3607
297	5299	3592
298	5318	3575
299	5337	3558
300	5354	3539
301	5372	3522
302	5390	3504
303	5409	3487
304	5427	3470
305	5448	3454
306	5465	3436
307	5485	3419
308	5504	3402
309	5526	3387
310	5548	3371
311	5567	3354
312	5584	3336
313	5599	3317
314	5619	3300
315	5635	3281
316	5655	3264
317	5672	3246
318	5683	3224
319	5717	3216
320	5743	3202
321	5765	3187
322	5780	3167
323	5799	3150
324	5813	3130
325	5830	3111
326	5845	3092
327	5862	3074
328	5877	3055
329	5894	3036
330	5910	3017
331	5925	2998
332	5940	2979
333	5965	2964
334	5986	2948
335	5999	2928
336	6012	2907
337	6032	2891
338	6059	2877
339	6081	2862
340	6100	2844
341	6121	2828
342	6158	2819
343	6182	2803
344	6204	2787
345	6225	2770
346	6245	2753
347	6266	2736
348	6284	2719
349	6302	2700
350	6319	2682
351	6341	2666
352	6361	2649
353	6381	2631
354	6403	2615
355	6423	2598
356	6446	2582
357	6464	2564
358	6482	2545
359	6499	2527
360	6517	2509
361	6534	2491
362	6551	2472
363	6567	2453
364	6584	2435
365	6604	2418
366	6629	2402
367	6651	2385
368	6671	2368
369	6695	2352
370	6715	2335
371	6732	2316
372	6752	2298
373	6769	2280
374	6787	2262
375	6805	2244
376	6822	2226
377	6839	2207
378	6858	2189
379	6879	2172
380	6902	2155
381	6925	2139
382	6946	2121
383	6962	2103
384	6980	2085
385	7001	2067
386	7021	2050
387	7049	2034
388	7072	2018
389	7088	1999
390	7106	1981
391	7123	1962
392	7143	1944
393	7164	1927
394	7183	1909
395	7199	1890
396	7216	1872
397	7231	1853
398	7247	1834
399	7266	1816
400	7285	1798
401	7302	1780
402	7316	1761
403	7335	1743
404	7353	1725
405	7370	1706
406	7385	1687
407	7406	1670
408	7424	1651
409	7442	1633
410	7460	1615
411	7480	1597
412	7496	1579
413	7527	1563
414	7550	1546
415	7570	1528
416	7587	1510
417	7608	1492
418	7633	1475
419	7655	1458
420	7676	1440
421	7696	1422
422	7716	1404
423	7736	1386
424	7755	1368
425	7776	1350
426	7797	1333
427	7818	1315
428	7880	1304
429	7917	1288
430	7939	1270
431	7963	1253
432	7985	1235
433	8008	1217
434	8023	1198
435	8044	1180
436	8065	1162
437	8082	1144
438	8102	1125
439	8123	1107
440	8140	1089
441	8171	1072
442	8197	1054
443	8219	1036
444	8241	1018
445	8260	1000
446	8277	981
447	8298	963
448	8322	945
449	8347	927
450	8364	908
451	8387	890
452	8410	872
453	8437	854
454	8459	836
455	8479	818
456	8498	799
457	8516	781
458	8535	762
459	8557	744
460	8577	725
461	8600	707
462	8625	689
463	8649	671
464	8672	652
465	8693	634
466	8717	616
467	8743	597
468	8763	579
469	8780	560
470	8799	541
471	8816	523
472	8835	504
473	8854	485
474	8869	466
475	8885	448
476	8899	429
477	8914	410
478	8931	391
479	8945	372
480	8962	354
481	8978	335
482	8994	316
483	9010	297
484	9027	279
485	9043	260
486	9057	241
487	9072	223
488	9090	204
489	9107	185
490	9124	167
491	9141	148
492	9153	129
493	9164	111
494	9180	92
495	9194	74
496	9208	55
497	9223	37
498	9240	18
499	9250	0
