Rank,Feature,Group,RF_Importance,XGB_Importance,SHAP_Mean_Abs,RFE_Selected,Mean_Rank,Selected
1,STI,Engineered,0.5601130197125671,,22.263926922705515,True,1.0,True
2,Valley_Depth,Topographic,0.059688993108898004,,5.173926858321106,True,2.0,True
3,Sand_Content,Soil,0.04268671439108402,,3.0133788192401516,True,3.5,True
4,Aspect_cos,Topographic,0.046097622200027416,,1.9723532668658672,True,5.0,True
5,TPI,Topographic,0.038554879990363576,,2.9865165318036597,True,5.0,True
6,Aspect_sin,Topographic,0.03859820024918279,,1.5938008416671121,True,7.0,True
7,Elevation,Topographic,0.0368281464403873,,1.722819950082278,True,7.5,True
8,Flow_Accumulation,Topographic,0.03136606297929792,,2.670036171733953,True,7.5,True
9,Bulk_Density,Soil,0.026944572590836015,,2.137167963751449,True,9.0,True
10,Curvature_Profile,Topographic,0.03166533930878378,,1.0343538869659907,True,9.5,True
11,Clay_Content,Soil,0.03145293278638082,,0.950120153621453,True,10.5,True
12,Curvature_Plan,Topographic,0.030894780421402184,,1.3602774499305488,True,10.5,True
13,SOC,Soil,0.023895489531227308,,0.8040376068722048,True,13.0,True
14,P_Factor,RUSLE factor,0.0012132462895617978,,0.26640190444317224,True,14.0,True
